kule_10
t;x;y;v
0.000000000E0;1.040305024E2;3.321766041E1;
3.332222222E-2;1.084813821E2;3.312380606E1;1.350870892E2
6.664444444E-2;1.130052721E2;3.250773951E1;1.381510561E2
9.996666667E-2;1.175401779E2;3.147848703E1;1.425789649E2
1.332888889E-1;1.220555894E2;2.961264300E1;1.414259336E2
1.666111111E-1;1.266433467E2;2.903559767E1;1.453643945E2
1.999333333E-1;1.316147590E2;2.803962792E1;1.532923795E2
2.332555556E-1;1.366937755E2;2.720330873E1;1.620693901E2
2.665777778E-1;1.422711257E2;2.627781689E1;
