kule3
t;x;y;v
0.000000000E0;1.081505223E2;3.270265792E1;
3.332222222E-2;1.125836028E2;3.215038840E1;1.347093153E2
6.664444444E-2;1.170029507E2;3.120856789E1;1.349453750E2
9.996666667E-2;1.212830857E2;2.987014424E1;1.446445774E2
1.332888889E-1;1.263176749E2;2.872646412E1;1.531760953E2
1.666111111E-1;1.312642281E2;2.772843555E1;1.521747360E2
1.999333333E-1;1.362901379E2;2.688200025E1;1.531915664E2
2.332555556E-1;1.413681827E2;2.626512683E1;
